,ID,emb_2d_0,emb_2d_1,topic_id,topic_simil_score,keywords,kwrds_score,is_anomaly
49,10.22049/CCO.2021.27083.1193,6.7370715,1.8641001,-1,0.6879405,"graphs,adjacency","0.52686167,0.52384305",True
50,10.1186/s41747-022-00266-0,6.2426066,8.106005,17,0.3299697,"radiation,cancer cell","0.41393113,0.32528663",False
51,10.1186/s40249-022-00955-3,5.238074,8.340947,19,0.62069213,"covid outbreak,covid pandemic","0.4107851,0.39450747",False
52,10.1186/s13662-022-03698-5,8.86906,5.1243153,46,0.73877513,"convex optimization,gradient descent","0.56507945,0.45436192",False
53,10.1016/j.jspi.2022.02.006,5.878056,6.600503,51,0.36618173,"optimal design,quasi experimental","0.34598568,0.34387225",False
54,10.1186/s13662-022-03699-4,10.98693,4.9579873,-1,0.50492716,"riccati equation,ricci soliton","0.49993443,0.4215884",True
55,10.1186/s40594-022-00343-1,2.598878,7.1258264,4,0.51432645,"stem education,stem course","0.44775087,0.44737983",False
56,10.1186/s12859-021-04496-8,5.8498955,7.1206145,51,0.60052073,"bayesian inference,bayesian","0.41835916,0.3720926",False
57,10.1186/s13662-022-03696-7,10.03817,3.2491362,37,0.8187014,"integral inequality,type inequality","0.54875886,0.512874",False
58,10.1186/s40359-022-00773-0,2.55524,8.102593,-1,0.5626021,"work memory,cognitive development","0.4776354,0.43679762",True
59,10.3138/UTQ.91.1.06,1.0088097,7.527569,-1,0.32511032,"creativity,critical thinking","0.47467983,0.35004878",True
60,10.1186/s12940-022-00838-y,3.6557586,7.9424763,1,0.47029656,"health status,questionnaire","0.30838168,0.27095976",False
61,10.1007/s41024-022-00177-y,7.1339183,7.5000606,-1,0.43103516,"analysis pca,criteria decision","0.35103944,0.3206325",True
62,10.1186/s13015-022-00209-9,6.404044,7.872217,17,0.5581709,"tumor cell,genetic algorithm","0.32760996,0.31015426",False
63,10.1186/s12906-022-03545-w,7.501828,9.436394,-1,0.3307354,"prescribed,drug","0.31231475,0.28896734",True
64,10.1007/s13278-021-00854-9,5.5272493,4.9608355,56,0.29270625,"characterise,characterize","0.41047335,0.38739797",False
65,10.1186/s13663-022-00718-7,10.121283,3.6134243,-1,0.5636426,"banach contraction,strictly convex","0.42801654,0.4146577",True
66,10.1186/s12941-022-00501-x,5.3007817,8.086787,19,0.47040826,"sars cov,sars","0.5322685,0.40908408",False
67,10.1186/s12889-022-12845-2,5.0574527,8.141909,19,0.6010189,"covid pandemic,during the pandemic","0.54159904,0.4907624",False
68,10.1186/s13662-022-03687-8,10.010435,5.124577,-1,0.37849897,"controllability,approximate controllability","0.41163388,0.39972514",True
69,10.1186/s40323-022-00215-x,10.6118965,7.893467,-1,0.5996875,"eddy simulation,scaling the turbulence","0.522077,0.41126293",True
70,10.1186/s13662-022-03695-8,10.9709425,6.618027,-1,0.61550015,"nonlinear schrodinger,schrodinger equation","0.440055,0.43989915",True
71,10.1186/s44147-022-00078-4,6.082692,5.8169813,70,0.43577692,"transportation network,traffic congestion","0.42662865,0.3995037",False
72,10.1186/s12883-022-02620-6,2.5835848,8.094276,-1,0.4528106,"cognitive ability,cognitive skill","0.49446428,0.47577658",True
73,10.1186/s41039-022-00187-x,1.5927106,7.2579265,-1,0.67618036,"cognitive skill,cognitive load","0.5531491,0.4440139",True
74,10.1186/s12887-022-03187-4,5.2207775,8.129213,19,0.49713427,"infectious disease,infection rate","0.37115222,0.34020376",False
75,10.1186/s40594-022-00340-4,1.8789532,7.235403,9,0.5940989,"teaching practice,teacher preparation","0.43476442,0.40254998",False
76,10.1186/s13662-022-03693-w,10.897992,4.68511,71,0.49692023,"asymptotic stability,asymptotic behavior","0.4459393,0.43292803",False
77,10.1186/s12870-022-03492-1,7.024524,8.655772,16,0.5795486,"leaf,vegetation","0.24685761,0.23262268",False
78,10.1186/s13075-022-02755-4,6.4755983,7.1285524,-1,0.42338264,"classification accuracy,feature selection","0.31789482,0.31137937",True
79,10.1186/s43088-022-00208-0,10.757169,9.231952,66,0.5146418,"heat transfer,heat exchanger","0.427696,0.3923154",False
80,10.1186/s12889-022-12824-7,5.14811,8.111591,19,0.5268804,"vaccine,vaccination","0.505507,0.4640495",False
81,10.1016/j.jspi.2022.02.004,7.4543257,6.6871934,-1,0.47774708,"parameter estimation,kalman filter","0.39399743,0.39049354",True
82,10.1186/s10020-021-00426-9,6.191129,7.588003,17,0.3952521,"iron loss,iron","0.3343204,0.3035897",False
83,10.1016/j.aej.2022.02.004,10.949267,5.8181224,73,0.7659422,"fractal fractional,fractional differential","0.6617445,0.5837077",False
84,10.1186/s40359-022-00746-3,2.411242,7.578198,4,0.5963329,"motivational,motivational factor","0.4278889,0.42619064",False
85,10.1186/s13663-022-00716-9,10.830009,5.2789435,72,0.80909044,"caputo fractional,fractional differential","0.49759692,0.49529463",False
86,10.1186/s13059-022-02627-9,6.2468452,7.8103967,17,0.54633427,"gene,gene regulatory","0.2966292,0.27767318",False
87,10.1186/s12864-022-08366-2,6.3825517,7.8924866,17,0.49323082,"gene expression,gene","0.34323782,0.33716688",False
88,10.1186/s40537-022-00574-7,6.790428,6.9664607,76,0.40223554,"forecasting,forecast","0.47806033,0.44771767",False
89,10.1007/s41024-022-00168-z,8.595922,8.523687,-1,0.39873585,"concrete,reinforced concrete","0.46694183,0.43692634",True
90,10.1186/s40537-022-00573-8,6.679572,6.671762,76,0.491395,"classifier,feature selection","0.4391485,0.42303038",False
91,10.52547/jist.16121.10.37.61,7.25484,6.6505394,77,0.5079609,"deep learning,medical image","0.44463658,0.42694935",False
92,10.1186/s13362-022-00122-1,9.982569,7.4727826,79,0.6883863,"electromagnetic field,element method","0.4353971,0.4319914",False
93,10.1186/s13034-022-00442-5,3.1934924,7.943879,-1,0.6124446,"early childhood,preschool","0.45935237,0.4011339",True
94,10.1186/s13661-022-01591-4,11.634066,3.8918357,57,0.67010015,"uniqueness of solution,nontrivial solution","0.49953875,0.44237456",False
95,10.1186/s40494-022-00663-z,8.088441,9.34176,-1,0.3693348,"laminate,composite laminate","0.35681713,0.3407271",True
96,10.1007/s44196-022-00065-w,7.4495525,6.3909254,77,0.54299164,"image segmentation,segmentation","0.44725877,0.40929085",False
97,10.1186/s43019-022-00134-6,4.226162,7.9172735,0,0.5409092,"knee,joint","0.40970895,0.22602583",False
98,10.1186/s42774-021-00096-5,10.606579,7.7837925,82,0.61494625,"numerical simulation,galerkin method","0.423985,0.41543764",False
99,10.1186/s13662-022-03691-y,9.7769,2.5132697,36,0.50683725,"dirichlet functions,zeta function","0.42550528,0.40272677",False
100,10.1186/s40323-022-00214-y,7.547055,5.9073386,-1,0.4922645,"surrogate model,optimal design","0.363098,0.36226177",True
101,10.1186/s13075-022-02731-y,6.0805054,8.336764,17,0.3206259,"nk cell,immune","0.46762744,0.3965285",False
102,10.1186/s40594-022-00336-0,1.6640962,7.5047774,9,0.56442404,"student thinking,student think","0.5814102,0.51393473",False
103,10.1140/epjqt/s40507-022-00127-0,7.6554813,3.465536,-1,0.50035024,"signature,encryption","0.36411983,0.33820146",True
104,10.1186/s13321-022-00581-z,7.6405196,5.1568747,-1,0.50016165,"optimized,optimize","0.49674824,0.4944561",True
105,10.1186/s13661-022-01588-z,11.5605545,3.8260694,57,0.6728959,"laplacian operator,laplacian","0.46410963,0.45207173",False
106,10.1186/s13731-022-00209-4,4.6858883,6.2841725,10,0.49238092,"sustainable development,sustainable","0.44764772,0.40899715",False
107,10.1186/s12963-022-00285-4,5.5191436,7.7160997,-1,0.2699352,"mortality rate,death rate","0.3722828,0.31215554",True
108,10.1186/s12884-022-04458-9,4.551447,7.7843857,-1,0.2315194,"gestational age,hospital","0.28053433,0.2565577",True
109,10.1186/s40854-021-00314-5,5.4178886,5.815122,33,0.46555823,"financial market,market","0.52095425,0.5090649",False
110,10.1186/s43019-022-00135-5,4.259016,7.9078035,0,0.501785,"knee,axisymmetric","0.39667928,0.33374092",False
111,10.1186/s12955-022-01930-0,3.5783622,7.5884223,-1,0.2944665,"quality of life,breast cancer","0.48726842,0.37527472",True
112,10.1186/s13040-022-00288-9,6.71329,6.9273267,-1,0.5175825,"deep learning,machine learn","0.44101262,0.43290856",True
113,10.1186/s40594-022-00331-5,2.5961368,7.202857,4,0.61025167,"stem education,stem course","0.36371487,0.3271845",False
114,10.1186/s13661-022-01589-y,9.769272,5.940494,-1,0.48266178,"exponential stability,boundary condition","0.4724305,0.40470344",True
115,10.1140/epjqt/s40507-022-00125-2,8.183982,3.8976948,24,0.7030588,"quantum computer,quantum circuit","0.48857385,0.4299912",False
116,10.1186/s40246-022-00376-1,6.891608,6.9018154,76,0.5074006,"deep learning,deep neural","0.47599685,0.46337557",False
117,10.1186/s40594-022-00333-3,1.9579965,7.2677407,9,0.6999383,"study,mathematics learn","0.46859866,0.46299836",False
118,10.1186/s13662-022-03690-z,10.84156,5.426176,72,0.6876102,"fractional differential,fractional advection","0.48300534,0.46548292",False
119,10.1140/epjqt/s40507-022-00126-1,8.157046,3.8887115,24,0.64522016,"quantum computer,quantum circuit","0.7376443,0.59394133",False
120,10.1186/s12891-022-05097-z,4.1780677,7.9180017,0,0.73522997,"neck pain,neck torsion","0.51300997,0.356365",False
121,10.1186/s40850-022-00111-2,7.0857115,8.630138,16,0.5957001,"genus,evolutionary","0.29372853,0.20417902",False
122,10.1186/s13662-022-03688-7,6.1262445,9.015526,20,0.61775017,"hopf bifurcation,bifurcation","0.53208685,0.48848003",False
123,10.1186/s41039-022-00182-2,1.5482419,7.1543913,7,0.7118664,"video game,digital game","0.52871966,0.47352535",False
124,10.1186/s13661-022-01590-5,11.164128,3.5275557,57,0.605389,"fractional laplacian,sobolev space","0.6114254,0.55722725",False
125,10.1186/s12864-022-08345-7,6.949202,8.650313,16,0.46954072,"gene expression,gene regulatory","0.30516517,0.30300468",False
126,10.1186/s12871-022-01581-0,5.1068068,8.070428,19,0.2833777,"sars cov,sars","0.42364484,0.28156626",False
127,10.1186/s12941-022-00497-4,7.284714,9.219261,-1,0.11233869,"infection,infectious disease","0.4553477,0.3664274",True
128,10.1186/s13063-022-06075-5,5.175601,8.110718,19,0.27414805,"disease covid,prescribed","0.33629668,0.2954157",False
129,10.1186/s40359-022-00740-9,2.1602194,8.234901,3,0.78440064,"mathematics education,school mathematics","0.5472215,0.52525496",False
130,10.1186/s12909-022-03153-9,2.6603162,7.621699,-1,0.45731327,"questionnaire,confirmatory factor","0.40697062,0.39135402",True
131,10.1140/epjqt/s40507-022-00124-3,8.168806,3.8937976,24,0.6199878,"option pricing,quantum computer","0.40174454,0.37412733",False
132,10.1007/s13278-022-00859-y,5.1516585,8.203647,19,0.42742267,"epidemic model,fuzzy logic","0.4544036,0.42687172",False
133,10.1186/s12879-022-07105-y,5.196608,8.379337,19,0.37228584,"low income,neighborhood","0.27430266,0.25282848",False
134,10.1186/s12891-022-05059-5,4.203308,7.913444,0,0.74511856,"exercise,physical activity","0.41348562,0.39629266",False
135,10.1186/s13662-022-03689-6,11.440115,3.7971246,57,0.73991966,"fractional laplacian,fractional schrodinger","0.5475696,0.53290784",False
136,10.1186/s40594-022-00328-0,1.6020402,7.7649097,8,0.59959745,"secondary mathematics,mathematics and science","0.5238315,0.50955987",False
137,10.1186/s41935-022-00264-8,6.617555,5.9010363,-1,0.29743963,"pedestrian,safety","0.44704193,0.3236405",True
138,10.1186/s40594-022-00332-4,2.553319,7.202298,4,0.6034415,"student attitude,science education","0.49529803,0.49317873",False
139,10.1186/s13662-022-03686-9,7.595834,6.1499734,77,0.55669254,"stochastic gradient,recurrent neural","0.45657742,0.4396251",False
140,10.1186/s40494-022-00650-4,1.8425395,7.171805,9,0.39135635,"conservation,modelling","0.42228395,0.3503438",False
141,10.1186/s13104-022-05914-7,10.136132,3.5480547,-1,0.37256342,"fixed point,coincide","0.42750794,0.40638152",True
142,10.1186/s41235-022-00357-x,2.1163943,7.5505514,-1,0.4052233,"cognitive load,cognitive skill","0.48243082,0.43802232",True
143,10.1186/s42492-022-00101-8,8.801404,6.336898,-1,0.37462044,"spline,image segmentation","0.40503472,0.38178664",True
144,10.1186/s12859-022-04580-7,6.4306083,7.4914656,17,0.5906928,"dimensionality reduction,gene expression","0.36138698,0.34981942",False
145,10.1186/s42774-021-00100-y,11.020789,8.382217,59,0.6687627,"turbulent flow,turbulent","0.54750156,0.50848484",False
146,10.1186/s13662-022-03684-x,5.610232,9.36134,18,0.841246,"fractional diffusion,fractional differential","0.5358548,0.534161",False
147,10.1186/s12864-021-08246-1,6.367795,7.9035845,17,0.514117,"dna,genetic","0.4071018,0.3818148",False
148,10.1186/s13663-022-00713-y,10.120149,4.7471013,-1,0.5423424,"constrained,unconstrained optimization","0.46268898,0.46264893",True
149,10.1186/s13362-021-00118-3,7.878488,5.092516,50,0.40824765,"gpu,iterative scheme","0.39665198,0.3922968",False
150,10.1186/s13048-022-00955-9,5.9911184,8.001182,-1,0.4367566,"cancer patient,cancer cell","0.33880746,0.32776564",True
151,10.1186/s41118-021-00144-4,2.7645218,7.372805,-1,0.41007495,"migration,travel","0.4410498,0.37501097",True
152,10.1186/s13663-022-00712-z,10.300111,4.4642506,38,0.4784695,"variational principle,variational inequality","0.4543624,0.42708653",False
153,10.1186/s13362-022-00121-2,9.036618,7.8473973,80,0.52003986,"numerical simulation,cosine algorithm","0.25929976,0.2523104",False
154,10.1186/s40468-021-00153-2,2.0403993,7.873862,4,0.5282488,"assessment,test score","0.46049798,0.45790154",False
155,10.1186/s13662-022-03680-1,12.114023,5.471127,65,0.5932938,"boltzmann equation,euler equation","0.41578454,0.413572",False
156,10.1186/s12889-022-12630-1,2.9312212,7.8591776,2,0.3817076,"stress intensity,interpersonal stress","0.34925282,0.32875642",False
157,10.1186/s12874-022-01517-9,5.31302,8.316684,19,0.618919,"epidemic model,covid outbreak","0.42862672,0.41484383",False
158,10.1186/s12874-022-01520-0,5.593609,7.3681417,51,0.48879337,"test statistic,survival","0.3002446,0.29570013",False
159,10.1186/s12910-022-00746-3,4.8272734,6.6549916,-1,0.17726378,"ai,intelligence ai","0.39248788,0.39232272",True
160,10.21608/ejbo.2021.53712.1594,7.356893,8.605914,-1,0.39949423,"genus,morphology","0.33535308,0.27057472",True
161,10.1186/s13661-022-01586-1,5.810042,8.809018,20,0.73652285,"optimal control,epidemic model","0.48516503,0.4467535",False
162,10.1186/s13661-022-01587-0,12.453692,5.8032947,62,0.7696489,"sobolev inequality,sobolev space","0.4739436,0.41431192",False
163,10.1186/s40798-021-00393-9,2.3520582,7.383582,4,0.3326761,"goal,penalty","0.35000613,0.34182686",False
164,10.1186/s13662-022-03682-z,10.05128,3.3100927,37,0.7570245,"fractional integral,integral inequality","0.45073855,0.44751593",False
165,10.1186/s13662-022-03681-0,10.083321,3.253055,37,0.7451869,"fractional integral,integral inequality","0.5486274,0.4737873",False
166,10.1186/s13362-022-00120-3,10.453663,7.603933,82,0.35950884,"graphene,cross diffusion","0.46300578,0.38783586",False
167,10.1186/s40537-022-00559-6,2.8714232,7.2186766,-1,0.4105093,"income,logistic regression","0.40682584,0.39237946",True
168,10.22124/jmm.2021.19045.1631,9.205434,5.3252096,47,0.7416389,"toeplitz matrix,stiffness matrix","0.44312832,0.41326937",False
169,10.22124/jmm.2021.18386.1579,10.582527,7.0869937,82,0.6178468,"convection diffusion,mixed convection","0.48404974,0.43879083",False
170,10.22124/jmm.2021.15860.1387,8.626407,2.3787487,29,0.45753282,"distribution,cumulative distribution","0.3587522,0.32647416",False
171,10.22124/jmm.2021.16900.1466,9.734248,5.3953657,39,0.64612365,"iterative method,iterative scheme","0.4541733,0.38505024",False
172,10.1186/s13663-022-00714-x,11.958132,5.5570507,65,0.56418896,"viscous dissipation,curvature flow","0.47452027,0.42004332",False
173,10.1186/s12889-022-12540-2,3.0347795,7.9194303,2,0.6080321,"early childhood,child age","0.32291645,0.3188839",False
174,10.1186/s12905-021-01572-2,2.9322095,7.5081253,-1,0.43697,"couple stress,interpersonal stress","0.34748185,0.34176075",True
175,10.1186/s13662-022-03676-x,8.190894,6.6879077,-1,0.53483564,"neural network,gradient descent","0.358923,0.35874507",True
176,10.1186/s43046-022-00105-8,6.090332,8.229075,17,0.19018713,"radiation,treatment","0.29541525,0.2801246",False
177,10.22124/jmm.2021.19495.1675,9.194692,1.301138,-1,0.54108405,"schur complement,tensor decomposition","0.59313995,0.45522416",True
178,10.1186/s13662-022-03677-w,5.6063213,9.356241,18,0.84121,"fractional differential,fractional diffusion","0.595343,0.54386175",False
179,10.22124/jmm.2021.19033.1630,10.544837,5.243612,-1,0.54819435,"delay differential,differential equation","0.536555,0.4161768",True
180,10.22124/JMM.2021.19486.1673,9.928089,9.372919,-1,0.49867576,"magnetization,magnetic field","0.5325892,0.3590057",True
181,10.22124/jmm.2021.19095.1641,10.863696,6.436204,-1,0.5886777,"analytical solution,numerical integration","0.43967324,0.42967463",True
182,10.1186/s40594-022-00326-2,2.6065989,7.1356764,4,0.6373121,"stem education,mathematics stem","0.57830954,0.479252",False
183,10.22124/JMM.2021.18796.1609,9.048223,6.607206,-1,0.2922029,"cubic spline,spline","0.45310056,0.3446144",True
184,10.22124/jmm.2021.19303.1659,8.504453,5.497391,48,0.6737972,"tensor decomposition,tensor","0.49818873,0.40401",False
185,10.1186/s13071-021-05134-1,5.8708997,8.291512,-1,0.2702367,"prescribed,cost effectiveness","0.3254403,0.2724873",True
186,10.1186/s12992-022-00803-x,5.416964,8.549594,19,0.7242527,"epidemic model,covid outbreak","0.60007894,0.5046802",False
187,10.1186/s13071-021-05142-1,5.695172,8.398722,-1,0.38539732,"susceptible infected,infectious disease","0.43519175,0.42803985",True
188,10.1186/s43088-022-00195-2,6.871135,5.997145,76,0.33054903,"architecture,design methodology","0.50345254,0.44502592",False
189,10.1186/s40594-021-00324-w,2.6697636,7.115091,4,0.5935575,"mathematics stem,stem education","0.5436405,0.5412793",False
190,10.1186/s13661-022-01584-3,11.630779,4.071972,57,0.77061397,"weak solution,boundary condition","0.48902738,0.4310069",False
191,10.1186/s13662-021-03674-5,9.299336,4.3434706,-1,0.677281,"stochastic differential,backward stochastic","0.57523656,0.53563917",True
192,10.1186/s13661-022-01585-2,10.829017,5.253356,72,0.8158357,"fractional differential,fractional derivative","0.44950512,0.4425818",False
193,10.1186/s42774-021-00095-6,7.690258,6.7661324,61,0.5196631,"polynomial chaos,chaos expansion","0.4867705,0.40911788",False
194,10.1186/s13662-022-03678-9,10.7925205,4.5282345,71,0.6113475,"asymptotic stability,lyapunov exponent","0.5280142,0.48345497",False
195,10.1186/s40337-021-00527-0,3.947059,7.742273,-1,0.59486663,"pandemic,covid pandemic","0.5155393,0.5093378",True
196,10.1186/s13362-022-00119-w,6.7685633,6.8961062,76,0.4509294,"pattern recognition,similarity measure","0.44976312,0.4375894",False
197,10.1186/s13662-022-03683-y,9.962867,3.0024629,37,0.52567947,"pseudodifferential operator,differential operator","0.35420662,0.35092458",False
198,10.1186/s13662-022-03675-y,9.625029,2.8305738,-1,0.61902773,"toeplitz operator,bernstein polynomial","0.43260753,0.42305863",True
199,10.1186/s13321-022-00582-y,6.4877825,7.8864975,17,0.56011826,"molecular,genetic algorithm","0.42326814,0.40744",False
200,10.1007/s44196-021-00061-6,10.053797,3.314096,37,0.74170387,"interval valued,integral inequality","0.5513002,0.4924074",False
201,10.1186/s12873-021-00565-6,4.366646,7.9390607,0,0.5041039,"drug delivery,prescribed","0.29632005,0.27607045",False
202,10.1186/s12909-021-03052-5,1.87001,7.355743,9,0.6484935,"flipped classroom,flipped learning","0.6302585,0.49528453",False
203,10.1186/s12889-021-12474-1,2.6305819,8.022872,2,0.55118847,"academic achievement,academic performance","0.4261968,0.41602725",False
204,10.1186/s13661-022-01583-4,11.671142,3.875482,57,0.75933605,"signless laplacian,nonlinear schrodinger","0.41768163,0.41065985",False
205,10.1186/s41239-021-00307-5,1.9416018,7.2214627,9,0.6879971,"online education,online learning","0.5567974,0.528761",False
206,10.1186/s12984-022-00987-8,7.123244,7.04302,-1,0.41020238,"deep learning,neural network","0.34985155,0.34227568",True
207,10.1186/s40854-021-00317-2,5.0581083,5.9577713,33,0.3726402,"financial market,investment","0.44149694,0.38795125",False
208,10.1186/s12911-022-01750-8,6.1878552,5.3818393,70,0.43668383,"patient satisfaction,resource management","0.398268,0.3942635",False
209,10.1007/s44196-021-00062-5,5.974471,5.853447,70,0.35694265,"supply chain,economic development","0.2988716,0.27451658",False
210,10.1186/s40594-021-00325-9,1.9681126,7.200144,9,0.46166983,"stem education,conceptual change","0.4742664,0.45284224",False
211,10.1186/s40594-021-00322-y,1.5589375,7.987538,8,0.6424539,"algebraic thinking,flexibility","0.46443135,0.4547567",False
212,10.1186/s12859-021-04550-5,6.417962,7.4084034,17,0.6438453,"data driven,datasets","0.37809223,0.2877918",False
213,10.1186/s13104-021-05900-5,5.8842673,8.078757,-1,0.30687124,"bone,fracture toughness","0.36059195,0.25324923",True
214,10.1186/s13059-021-02590-x,6.437192,7.532664,17,0.49629194,"clustering,cluster","0.41022366,0.39933047",False
215,10.1186/s13104-021-05896-y,7.0458474,7.1380153,-1,0.33565107,"blood flow,velocity profile","0.43542886,0.3358401",True
216,10.1186/s12889-021-12450-9,2.5068877,7.559465,4,0.5894544,"motivation,motivational","0.47827435,0.44791237",False
217,10.1007/s41109-021-00435-x,6.481401,6.8788495,-1,0.4754696,"bayesian network,pathway","0.3498636,0.3400039",True
